segment,description
10160000,floriculture and silviculture products
10170000,fertilizers and plant nutrients and herbicides
10190000,pest control products
10200000,live rose bushes
10210000,live plants of high species or variety count flowers
10220000,live plants of low species or variety count flowers
10230000,live chrysanthemums
10300000,fresh cut rose
10310000,fresh cut blooms of high species or variety count flowers
10320000,fresh cut blooms of low species or variety count flowers
10330000,fresh cut chrysanthemums
10340000,fresh cut floral bouquets
10400000,dried cut roses
10410000,dried cut blooms of high species or variety count flowers
10420000,dried cut blooms of low species or variety count flowers
10430000,dried cut chrysanthemums
10500000,fresh cut greenery
11100000,minerals and ores and metals
11110000,earth and stone
11120000,non edible plant and forestry products
11130000,non edible animal products
11140000,scrap and waste materials
11150000,fibers and threads and yarns
11160000,fabrics and leather materials
11170000,alloys
11180000,metal oxide
11190000,metal waste and scrap
12130000,explosive materials
12140000,elements and gases
12160000,additives
12170000,colorants
12180000,waxes and oils
12190000,solvents
12350000,compounds and mixtures
13100000,rubber and elastomers
13110000,resins and rosins and other resin derived materials
14100000,paper materials
14110000,paper products
14120000,industrial use papers
15100000,fuels
15110000,gaseous fuels and additives
15120000,lubricants and oils and greases and anti corrosives
15130000,fuel for nuclear reactors
20100000,mining and quarrying machinery and equipment
20110000,well drilling and operation equipment
20120000,oil and gas drilling and exploration equipment
20130000,oil and gas drilling and operation materials
20140000,oil and gas operating and production equipment
21100000,agricultural and forestry and landscape machinery and equipment
21110000,fishing and aquaculture equipment
22100000,heavy construction machinery and equipment
23100000,raw materials processing machinery
23110000,petroleum processing machinery
23120000,textile and fabric machinery and accessories
23130000,lapidary machinery and equipment
23140000,leatherworking repairing machinery and equipment
23150000,industrial process machinery and equipment and supplies
23160000,foundry machines and equipment and supplies
23180000,industrial food and beverage equipment
23190000,mixers and their parts and accessories
23200000,mass transfer equipment
23210000,electronic manufacturing machinery and equipment and accessories
23220000,chicken processing machinery and equipment
23230000,sawmilling and lumber processing machinery and equipment
23240000,metal cutting machinery and accessories
23250000,metal forming machinery and accessories
23260000,rapid prototyping machinery and accessories
23270000,welding and soldering and brazing machinery and accessories and supplies
23280000,metal treatment machinery
23290000,industrial machine tools
23300000,wire machinery and equipment
24100000,material handling machinery and equipment
24110000,containers and storage
24120000,packaging materials
24130000,industrial refrigeration
24140000,packing supplies
25100000,motor vehicles
25110000,marine transport
25120000,railway and tramway machinery and equipment
25130000,aircraft
25150000,spacecraft
25160000,non motorized cycles
25170000,transportation components and systems
25180000,vehicle bodies and trailers
25190000,transportation services equipment
25200000,aerospace systems and components and equipment
26100000,power sources
26110000,batteries and generators and kinetic power transmission
26120000,electrical wire and cable and harness
26130000,power generation
26140000,atomic and nuclear energy machinery and equipment
27110000,hand tools
27120000,hydraulic machinery and equipment
27130000,pneumatic machinery and equipment
27140000,automotive specialty tools
30100000,structural components and basic shapes
30110000,concrete and cement and plaster
30120000,roads and landscape
30130000,structural building products
30140000,insulation
30150000,exterior finishing materials
30160000,interior finishing materials
30170000,doors and windows and glass
30180000,plumbing fixtures
30190000,construction and maintenance support equipment
30200000,prefabricated structures
30220000,permanent structures
30230000,portable structures
30240000,portable structure building components
30250000,underground mining structures and materials
30260000,structural materials
31100000,castings and casting assemblies
31110000,extrusions
31120000,machined castings
31130000,forgings
31140000,moldings
31150000,rope and chain and cable and wire and strap
31160000,hardware
31170000,bearings and bushings and wheels and gears
31180000,packings glands boots and covers
31190000,grinding and polishing and smoothing materials
31200000,adhesives and sealants
31210000,paints and primers and finishes
31220000,dyeing and tanning extracts
31230000,machined raw stock
31240000,industrial optics
31250000,pneumatic and hydraulic and electric control systems
31260000,housings and cabinets and casings
31270000,machine made parts
31280000,stampings and sheet components
31290000,machined extrusions
31300000,machined forgings
31310000,fabricated pipe assemblies
31320000,fabricated bar stock assemblies
31330000,fabricated structural assemblies
31340000,fabricated sheet assemblies
31350000,fabricated tube assemblies
31360000,fabricated plate assemblies
31370000,refractories
31380000,magnets and magnetic materials
31390000,machinings
31400000,gaskets
31410000,seals
31420000,sintered parts
32100000,printed circuits and integrated circuits and microassemblies
32110000,discrete semiconductor devices
32120000,passive discrete components
32130000,electronic hardware and component parts and accessories
32140000,electron tube devices and accessories
32150000,automation control devices and components and accessories
39100000,lamps and lightbulbs and lamp components
39110000,lighting fixtures and accessories
39120000,electrical equipment and components and supplies
39130000,electrical wire management devices and accessories and supplies
40100000,heating and ventilation and air circulation
40140000,fluid and gas distribution
40150000,industrial pumps and compressors
40160000,industrial filtering and purification
40170000,pipe piping and pipe fittings
40180000,tubes tubing and tube fittings
41100000,laboratory and scientific equipment
41110000,measuring and observing and testing instruments
41120000,laboratory supplies and fixtures
42120000,veterinary equipment and supplies
42130000,medical apparel and textiles
42140000,patient care and treatment products and supplies
42150000,dental equipment and supplies
42160000,dialysis equipment and supplies
42170000,emergency and field medical services products
42180000,patient exam and monitoring products
42190000,medical facility products
42200000,medical diagnostic imaging and nuclear medicine products
42210000,independent living aids for the physically challenged
42220000,intravenous and arterial administration products
42230000,clinical nutrition
42240000,orthopedic and prosthetic and sports medicine products
42250000,physical and occupational therapy and rehabilitation products
42260000,postmortem and mortuary equipment and supplies
42270000,respiratory and anesthesia and resuscitation products
42280000,medical sterilization products
42290000,surgical products
42300000,medical training and education supplies
42310000,wound care products
42320000,orthopedic surgical implants
43190000,communications devices and accessories
43200000,components for information technology or broadcasting or telecommunications
43210000,computer equipment and accessories
43220000,data voice or multimedia network equipment or platforms and accessories
43230000,software
44100000,office machines and their supplies and accessories
44110000,office and desk accessories
44120000,office supplies
45100000,printing and publishing equipment
45110000,audio and visual presentation and composing equipment
45120000,photographic or filming or video equipment
45130000,photographic and recording media
45140000,photographic filmmaking supplies
46100000,light weapons and ammunition
46110000,conventional war weapons
46120000,missiles
46130000,rockets and subsystems
46140000,launchers
46150000,law enforcement
46160000,public safety and control
46170000,security surveillance and detection
46180000,personal safety and protection
46190000,fire protection
47100000,water and wastewater treatment supply and disposal
47110000,industrial laundry and dry cleaning equipment
47120000,janitorial equipment
47130000,cleaning and janitorial supplies
48100000,institutional food services equipment
48110000,vending machines
48120000,gambling or wagering equipment
49100000,collectibles and awards
49120000,camping and outdoor equipment and accessories
49130000,fishing and hunting equipment
49140000,watersports equipment
49150000,winter sports equipment
49160000,field and court sports equipment
49170000,gymnastics and boxing equipment
49180000,target and table games and equipment
49200000,fitness equipment
49210000,other sports
49220000,sports equipment and accessories
49240000,recreation and playground and swimming and spa equipment and supplies
50100000,nuts and seeds
50110000,meat and poultry products
50120000,seafood
50130000,dairy products and eggs
50150000,edible oils and fats
50160000,chocolate and sugars and sweeteners and confectionary products
50170000,seasonings and preservatives
50180000,bread and bakery products
50190000,prepared and preserved foods
50200000,beverages
50210000,tobacco and smoking products and substitutes
50220000,cereal and pulse products
50300000,fresh fruits
50310000,organic fresh fruits
50320000,dried fruit
50330000,dried organic fruit
50340000,frozen fruit
50350000,frozen organic fruit
50360000,canned or jarred fruit
50370000,canned or jarred organic fruit
50380000,pureed fruit
50400000,fresh vegetables
50410000,organic fresh vegetables
50420000,dried vegetables
50430000,dried organic vegetables
50440000,frozen vegetables
50450000,frozen organic vegetables
50460000,canned or jarred vegetables
50470000,canned or jarred organic vegetables
51100000,anti infective drugs
51110000,antineoplastic agents
51120000,cardiovascular drugs
51130000,hematolic drugs
51140000,central nervous system drugs
51150000,autonomic nervous system drugs
51160000,drugs affecting the respiratory tract
51170000,drugs affecting the gastrointestinal system
51180000,hormones and hormone antagonists
51190000,agents affecting water and electrolytes
51200000,immunomodulating drugs
51210000,miscellaneous drug categories
51240000,drugs affecting the ears eye nose and skin
51250000,veterinary nutritional supplement
52100000,floor coverings
52120000,bedclothes and table and kitchen linen and towels
52130000,window treatments
52140000,domestic appliances
52150000,domestic kitchenware and kitchen supplies
52160000,consumer electronics
52170000,domestic wall treatments
53100000,clothing
53110000,footwear
53120000,luggage and handbags and packs and cases
53130000,personal care products
53140000,sewing supplies and accessories
54100000,jewelry
54110000,timepieces
54120000,gemstones
55100000,printed media
55110000,electronic reference material
55120000,signage and accessories
56100000,accommodation furniture
56110000,commercial and industrial furniture
56120000,classroom and instructional and institutional furniture and fixtures
56130000,merchandising furniture and accessories
60100000,developmental and professional teaching aids and materials and accessories and supplies
60110000,classroom decoratives and supplies
60120000,arts and crafts equipment and accessories and supplies
60130000,musical instruments and parts and accessories
60140000,toys and games
70100000,fisheries and aquaculture
70110000,horticulture
70120000,livestock services
70130000,land and soil preparation and management and protection
70140000,crop production and management and protection
70150000,forestry
70160000,wildlife and flora
70170000,water resources development and oversight
71100000,mining services
71110000,oil and gas exploration services
71120000,well drilling and construction services
71130000,oil and gas extraction and production enhancement services
71140000,oil and gas restoration and reclamation services
71150000,oil and gas data management and processing services
71160000,oil and gas well project management services
72100000,building and facility maintenance and repair services
72110000,residential building construction services
72120000,nonresidential building construction services
72140000,heavy construction services
72150000,specialized trade construction and maintenance services
73100000,plastic and chemical industries
73110000,wood and paper industries
73120000,metal and mineral industries
73130000,food and beverage industries
73140000,fibers and textiles and fabric industries
73150000,manufacturing support services
73160000,machinery and transport equipment manufacture
73170000,manufacture of electrical goods and precision instruments
73180000,machining and processing services
76100000,decontamination services
76110000,cleaning and janitorial services
76120000,refuse disposal and treatment
76130000,toxic and hazardous waste cleanup
77100000,environmental management
77110000,environmental protection
77120000,pollution tracking and monitoring and rehabilitation
77130000,pollutants tracking and monitoring and rehabilitation services
78100000,mail and cargo transport
78110000,passenger transport
78120000,material packing and handling
78130000,storage
78140000,transport services
78180000,transportation repair or maintenance services
80100000,management advisory services
80110000,human resources services
80120000,legal services
80130000,real estate services
80140000,marketing and distribution
80150000,trade policy and services
80160000,business administration services
81100000,professional engineering services
81110000,computer services
81120000,economics
81130000,statistics
81140000,manufacturing technologies
81150000,earth science services
81160000,information technology service delivery
82100000,advertising
82110000,writing and translations
82120000,reproduction services
82130000,photographic services
82140000,graphic design
82150000,professional artists and performers
83100000,utilities
83110000,telecommunications media services
83120000,information services
84100000,development finance
84110000,accounting and bookkeeping services
84120000,banking and investment
84130000,insurance and retirement services
84140000,credit agencies
85100000,comprehensive health services
85110000,disease prevention and control
85120000,medical practice
85130000,medical science research and experimentation
85140000,alternative and holistic medicine
85150000,food and nutrition services
85160000,medical surgical equipment maintenance refurbishment and repair services
85170000,death and dying support services
86100000,vocational training
86110000,alternative educational systems
86120000,educational institutions
86130000,specialized educational services
86140000,educational facilities
90100000,restaurants and catering
90110000,hotels and lodging and meeting facilities
90120000,travel facilitation
90130000,performing arts
90140000,commercial sports
90150000,entertainment services
91100000,personal appearance
91110000,domestic and personal assistance
92100000,public order and safety
92110000,military services and national defense
92120000,security and personal safety
93100000,political systems and institutions
93110000,socio political conditions
93120000,international relations
93130000,humanitarian aid and relief
93140000,community and social services
93150000,public administration and finance services
93160000,taxation
93170000,trade policy and regulation
94100000,work related organizations
94110000,religious organizations
94120000,clubs
94130000,civic organizations and associations and movements
95100000,land parcels
95110000,thoroughfares
10101500,livestock
10101600,birds and fowl
10101700,live fish
10101800,shellfish and aquatic invertebrates
10101900,insects
10102000,wild animals
10111300,domestic pet treatments and accessories and equipment
10121500,livestock feed
10121600,bird and fowl food
10121700,fish food
10121800,dog and cat food
10121900,rodent food
10122000,reptile food
10122100,miscellaneous animal food
10131500,animal shelters
10131600,animal containment
10131700,animal habitats
10141500,saddlery
10141600,harness goods
10151500,vegetable seeds and seedlings
10151600,cereal seeds
10151700,grass and forage seeds and seedlings
10151800,spice crop seeds and seedlings
10151900,flower seeds and bulbs and seedlings and cuttings
10152000,tree and shrub seeds and cuttings
10152100,residues other than animal feed
10152200,fibrous crop seeds and seedlings
10161500,trees and shrubs
10161600,floral plants
10161800,non flowering plants
10161900,dried floral products
10171500,organic fertilizers and plant nutrients
10171600,chemical fertilizers and plant nutrients
10171700,herbicides
10191500,pesticides or pest repellents
10191700,pest control devices
10201500,live blue or lavender or purple rose bushes
10201600,live chocolate or brown rose bushes
10201700,live cream rose bushes
10201800,live green or lime rose bushes
10201900,live light pink rose bushes
10202000,live multi-colored pink rose bushes
10202100,live orange rose bushes
10202200,live peach rose bushes
10202300,live pink rose bushes
10202400,live red or burgundy rose bushes
10202500,live sweetheart rose bushes
10202600,live white rose bushes
10202700,live yellow rose bushes
10202800,live spray rose bushes
10211500,live anthuriums
10211600,live alliums
10211700,live alstroemerias
10211800,live amaranthuses
10211900,live amaryllises
10212000,live anemone
10212100,live asclepias
10212200,live asters
10212300,live berzelia lanuginosas
10212400,live bouvardias
10212500,live brodiaeas
10212600,live callas
10212700,live carnations
10212800,live celosias
10212900,live daffodils
10213000,live dahlias
10213100,live delphiniums
10213200,live dianthuses
10213300,live eremuruses
10213400,live ericas
10213500,live euphorbias
10213600,live freesias
10213700,live fritillarias
10213800,live genistas
10213900,live gerberas
10214000,live ginger plants
10214100,live gladioluses
10214200,live godetias
10214300,live guzmanias
10214400,live gypsophilias
10214500,live heather
10214600,live heliconias
10214700,live hyacinths
10214800,live hydrangeas
10214900,live irises
10215000,live kangaroo paws
10215100,live larkspurs
10215200,live leptos
10215300,live lilacs
10215400,live lilies
10215500,live limoniums
10215600,live lisianthuses
10215700,live muscari plants or grape hyacinths
10215800,live narcissus
10215900,live dendrobium orchids
10216000,live ornamental peppers
10216100,live ornithogalums
10216200,live peonies
10216300,live proteas and leucadendrons and banksias
10216400,live ranunculuses
10216500,live scabiosas
10216600,live scotch brooms
10216700,live snap dragons
10216800,live statices
10216900,live matthiola incana or stock flowers
10217000,live sunflowers
10217100,live sweet peas
10217200,live thistles
10217300,live tulips
10217400,live waxflowers
10217500,live yarrows
10217600,live zinnias
10221500,live agapanthuses
10221600,live alchemillas
10221700,live alstilbes
10221800,live angelicas
10221900,live artemesias
10222000,live artichoke flowers
10222100,live astrantias
10222200,live banana flowers
10222300,live baptisias
10222400,live boronias
10222500,live bromelias
10222600,live brunias
10222700,live calatheas
10222800,live calcynias
10222900,live calendulas
10223000,live campanulas or bellflowers
10223100,live cestrums
10223200,live chasmanthes
10223300,live costuses
10223400,live crocosmias
10223500,live cytanthuses
10223600,live rumex or dock flowers
10223700,live eryngiums
10223800,live feverfews
10223900,live forget me nots
10224000,live gaillardias
10224100,live gentianas
10224200,live glamini gladioluses
10224300,live gloriosas
10224400,live gomphrena globosa or globe amaranth
10224500,live hellebores
10224600,live ixias
10224700,live liatrises
10224800,live lysimachias
10224900,live maracas
10225000,live marigolds
10225100,live mimosas
10225200,live nerines
10225300,live pepperberry flowers
10225400,live phlox
10225500,live physostegias or obedient plant
10225600,live saponarias
10225700,live sarracenias
10225800,live scillas
10225900,live sedums
10226000,live single species or varieties of flowers
10226100,live solomons seals
10226200,live tanacetums
10226300,live tracheliums
10226400,live tuberosas
10226500,live tweedias
10226600,live veronicas
10226700,live watsonias
10231500,live button chrysanthemums
10231600,live daisy pompon chrysanthemums
10231700,live cremon disbud chrysanthemums
10231800,live football disbud chrysanthemums
10231900,live spider chrysanthemums
10232000,live novelty chrysanthemums
10232100,live santini chrysanthemums
10301500,fresh cut blue or lavender or purple rose
10301600,fresh cut chocolate or brown rose
10301700,fresh cut cream rose
10301800,fresh cut green or lime rose
10301900,fresh cut light pink rose
10302000,fresh cut multi-colored pink rose
10302100,fresh cut orange rose
10302200,fresh cut peach rose
10302300,fresh cut pink rose
10302400,fresh cut red or burgundy rose
10302500,fresh cut sweetheart rose
10302600,fresh cut white rose
10302700,fresh cut yellow rose
10302800,fresh cut spray roses
10311500,fresh cut anthuriums
10311600,fresh cut alliums
10311700,fresh cut alstroemerias
10311800,fresh cut amaranthuses
10311900,fresh cut amaryllises
10312000,fresh cut anemone
10312100,fresh cut asclepias
10312200,fresh cut asters
10312300,fresh cut berzelia lanuginosas
10312400,fresh cut bouvardias
10312500,fresh cut brodiaeas
10312600,fresh cut callas
10312700,fresh cut carnations
10312800,fresh cut celosias
10312900,fresh cut daffodils
10313000,fresh cut dahlias
10313100,fresh cut delphiniums
10313200,fresh cut dianthuses
10313300,fresh cut eremuruses
10313400,fresh cut ericas
10313500,fresh cut euphorbias
10313600,fresh cut freesias
10313700,fresh cut fritillarias
10313800,fresh cut genistas
10313900,fresh cut gerberas
10314000,fresh cut ginger plants
10314100,fresh cut gladioluses
10314200,fresh cut godetias
10314300,fresh cut guzmanias
10314400,fresh cut gypsophilias
10314500,fresh cut heather
10314600,fresh cut heliconias
10314700,fresh cut hyacinths
10314800,fresh cut hydrangeas
10314900,fresh cut irises
10315000,fresh cut kangaroo paws
10315100,fresh cut larkspurs
10315200,fresh cut leptos
10315300,fresh cut lilacs
10315400,fresh cut lilies
10315500,fresh cut limoniums
10315600,fresh cut lisianthuses
10315700,fresh cut muscari blooms or grape hyacinths
10315800,fresh cut narcissus
10315900,fresh cut dendrobium orchids
10316000,fresh cut ornamental peppers
10316100,fresh cut ornithogalums
10316200,fresh cut peonies
10316300,fresh cut proteas and leucadendrons and banksias
10316400,fresh cut ranunculuses
10316500,fresh cut scabiosas
10316600,fresh cut scotch brooms
10316700,fresh cut snap dragons
10316800,fresh cut statices
10316900,fresh cut matthiola incana or stock flowers
10317000,fresh cut sunflowers
10317100,fresh cut sweet peas
10317200,fresh cut thistles
10317300,fresh cut tulips
10317400,fresh cut waxflowers
10317500,fresh cut yarrows
10317600,fresh cut zinnias
10321500,fresh cut agapanthuses
10321600,fresh cut alchemillas
10321700,fresh cut alstilbes
10321800,fresh cut angelicas
10321900,fresh cut artemesias
10322000,fresh cut artichoke flowers
10322100,fresh cut astrantias
10322200,fresh cut banana flowers
10322300,fresh cut baptisias
10322400,fresh cut boronias
10322500,fresh cut bromelias
10322600,fresh cut brunias
10322700,fresh cut calatheas
10322800,fresh cut calcynias
10322900,fresh cut calendulas
10323000,fresh cut campanulas or bellflowers
10323100,fresh cut cestrums
10323200,fresh cut chasmanthes
10323300,fresh cut costuses
10323400,fresh cut crocosmias
10323500,fresh cut cytanthuses
10323600,fresh cut rumex or dock flowers
10323700,fresh cut eryngiums
10323800,fresh cut feverfews
10323900,fresh cut forget me nots
10324000,fresh cut gaillardias
10324100,fresh cut gentianas
10324200,fresh cut glamini gladioluses
10324300,fresh cut gloriosas
10324400,fresh cut gomphrena globosa or globe amaranth
10324500,fresh cut hellebores
10324600,fresh cut ixias
10324700,fresh cut liatrises
10324800,fresh cut lysimachias
10324900,fresh cut maracas
10325000,fresh cut marigolds
10325100,fresh cut mimosas
10325200,fresh cut nerines
10325300,fresh cut pepperberry flowers
10325400,fresh cut phlox
10325500,fresh cut physostegias or obedient plant
10325600,fresh cut saponarias
10325700,fresh cut sarracenias
10325800,fresh cut scillas
10325900,fresh cut sedums
10326000,fresh cut single species or varieties of flowers
10326100,fresh cut solomons seals
10326200,fresh cut tanacetums
10326300,fresh cut tracheliums
10326400,fresh cut tuberosas
10326500,fresh cut tweedias
10326600,fresh cut veronicas
10326700,fresh cut watsonias
10331500,fresh cut button chrysanthemums
10331600,fresh cut daisy pompon chrysanthemums
10331700,fresh cut cremon disbud chrysanthemums
10331800,fresh cut football disbud chrysanthemums
10331900,fresh cut spider chrysanthemums
10332000,fresh cut novelty chrysanthemums
10332100,fresh cut santini chrysanthemums
10341500,fresh cut rose bouquets
10341600,fresh cut carnation bouquets
10341700,fresh cut mini carnation bouquets
10341800,fresh cut lily bouquets
10341900,fresh cut pompon chrysanthemum bouquets
10342000,fresh cut alstroemeria bouquets
10342100,fresh cut tropical flower bouquets
10342200,fresh cut mixed floral bouquets
10401500,dried cut blue or lavender or purple rose
10401600,dried cut chocolate or brown rose
10401700,dried cut cream rose
10401800,dried cut green or lime rose
10401900,dried cut light pink rose
10402000,dried cut multi-colored pink rose
10402100,dried cut orange rose
10402200,dried cut peach rose
10402300,dried cut pink rose
10402400,dried cut red or burgundy rose
10402500,dried cut sweetheart rose
10402600,dried cut white rose
10402700,dried cut yellow rose
10402800,dried cut spray roses
10411500,dried cut anthuriums
10411600,dried cut alliums
10411700,dried cut alstroemerias
10411800,dried cut amaranthuses
10411900,dried cut amaryllises
10412000,dried cut anemone
10412100,dried cut asclepias
10412200,dried cut asters
10412300,dried cut berzelia lanuginosas
10412400,dried cut bouvardias
10412500,dried cut brodiaeas
10412600,dried cut callas
10412700,dried cut carnations
10412800,dried cut celosias
10412900,dried cut daffodils
10413000,dried cut dahlias
10413100,dried cut delphiniums
10413200,dried cut dianthuses
10413300,dried cut eremuruses
10413400,dried cut ericas
10413500,dried cut euphorbias
10413600,dried cut freesias
10413700,dried cut fritillarias
10413800,dried cut genistas
10413900,dried cut gerberas
10414000,dried cut ginger plants
10414100,dried cut gladioluses
10414200,dried cut godetias
10414300,dried cut guzmanias
10414400,dried cut gypsophilias
10414500,dried cut heather
10414600,dried cut heliconias
10414700,dried cut hyacinths
10414800,dried cut hydrangeas
10414900,dried cut irises
10415000,dried cut kangaroo paws
10415100,dried cut larkspurs
10415200,dried cut leptos
10415300,dried cut lilacs
10415400,dried cut lilies
10415500,dried cut limoniums
10415600,dried cut lisianthuses
10415700,dried cut muscari blooms or grape hyacinths
10415800,dried cut narcissus
10415900,dried cut dendrobium orchids
10416000,dried cut ornamental peppers
10416100,dried cut ornithogalums
10416200,dried cut peonies
10416300,dried cut proteas and leucadendrons and banksias
10416400,dried cut ranunculuses
10416500,dried cut scabiosas
10416600,dried cut scotch brooms
10416700,dried cut snap dragons
10416800,dried cut statices
10416900,dried cut matthiola incana or stock flowers
10417000,dried cut sunflowers
10417100,dried cut sweet peas
10417200,dried cut thistles
10417300,dried cut tulips
10417400,dried cut waxflowers
10417500,dried cut yarrows
10417600,dried cut zinnias
10421500,dried cut agapanthuses
10421600,dried cut alchemillas
10421700,dried cut alstilbes
10421800,dried cut angelicas
10421900,dried cut artemesias
10422000,dried cut artichoke flowers
10422100,dried cut astrantias
10422200,dried cut banana flowers
10422300,dried cut baptisias
10422400,dried cut boronias
10422500,dried cut bromelias
10422600,dried cut brunias
10422700,dried cut calatheas
10422800,dried cut calcynias
10422900,dried cut calendulas
10423000,dried cut campanulas or bellflowers
10423100,dried cut cestrums
10423200,dried cut chasmanthes
10423300,dried cut costuses
10423400,dried cut crocosmias
10423500,dried cut cytanthuses
10423600,dried cut rumex or dock flowers
10423700,dried cut eryngiums
10423800,dried cut feverfews
10423900,dried cut forget me nots
10424000,dried cut gaillardias
10424100,dried cut gentianas
10424200,dried cut glamini gladioluses
10424300,dried cut gloriosas
10424400,dried cut gomphrena globosa or globe amaranth
10424500,dried cut hellebores
10424600,dried cut ixias
10424700,dried cut liatrises
10424800,dried cut lysimachias
10424900,dried cut maracas
10425000,dried cut marigolds
10425100,dried cut mimosas
10425200,dried cut nerines
10425300,dried cut pepperberry flowers
10425400,dried cut phlox
10425500,dried cut physostegias or obedient plant
10425600,dried cut saponarias
10425700,dried cut sarracenias
10425800,dried cut scillas
10425900,dried cut sedums
10426000,dried cut single species or varieties of flowers
10426100,dried cut solomons seals
10426200,dried cut tanacetums
10426300,dried cut tracheliums
10426400,dried cut tuberosas
10426500,dried cut tweedias
10426600,dried cut veronicas
10426700,dried cut watsonias
10431500,dried cut button chrysanthemums
10431600,dried cut daisy pompon chrysanthemums
10431700,dried cut cremon disbud chrysanthemums
10431800,dried cut football disbud chrysanthemums
10431900,dried cut spider chrysanthemums
10432000,dried cut novelty chrysanthemums
10432100,dried cut santini chrysanthemums
10501500,fresh cut aspidistras
10501600,fresh cut chile greens
10501700,fresh cut copperbeech greens
10501800,fresh cut eucalyptus greens
10501900,fresh cut ferns
10502000,fresh cut leaves or foliage
10502100,fresh cut grasses
10502200,fresh cut huckleberry
10502300,fresh cut ivy
10502400,fresh cut integrifolia
10502500,fresh cut myrtle
10502600,fresh cut oak leaves
10502700,fresh cut oregonia
10502800,fresh cut pittosporum
10502900,fresh cut single species greens
11101500,minerals
11101600,ores
11101700,base metals
11101800,precious metals
11111500,dirt and soil
11111600,stone
11111700,sand
11111800,clays
11121500,sap
11121600,wood
11121700,forestry byproducts
11121800,plant fibers
11121900,perfumery products
11122000,engineered wood products
11131500,animal hides and skins and animal textile materials
11131600,other animal products
11141600,non metallic waste and scrap
11141700,food and tobacco waste and scrap
11151500,fibers
11151600,threads
11151700,yarns
11161500,silk fabrics
11161600,wool fabrics
11161700,cotton fabrics
11161800,synthetic fabrics
11162000,fabrics of vegetable material other than cotton
11162100,specialty fabrics or cloth
11162200,nonwoven fabrics
11162300,leathers
11171500,basic steels
11171600,stainless steel alloys
11171700,high speed steels
11171800,nickel based super alloys
11171900,titanium based super alloys
11172000,aluminum based alloys
11172100,cobalt based super alloys
11181500,non ferrous metal oxides
11191500,metal solids
11191600,metal scrap
11191700,turnings
12131500,explosives
12131600,pyrotechnics
12131700,igniters
12131800,propellants
12141500,earth metals
12141600,rare earth metals
12141700,transition metals
12141800,alkali metals
12141900,non metals and pure and elemental gases
12142000,noble gases
12142100,industrial use gases
12142200,isotopes
12161500,indicators and reagents
12161600,catalysts
12161700,buffers
12161800,colloids
12161900,surfactants
12162000,plasticizers
12162100,flame retardants
12162200,anti oxidants
12162300,curing agents
12162400,polymer breakers
12162500,emulsion breakers
12162600,clay stabilizers
12162700,fluid loss additives
12162800,friction reducers
12162900,paraffin asphaltene control agents
12163000,mud removal mixtures
12163100,anti sludgers
12163200,anti gas migration agents
12163300,expanding agents
12163400,extenders
12163500,oil well sealants
12163600,corrosion inhibitors
12163700,gas hydrate controllers
12163800,chemical scavengers
12163900,scale controllers
12164000,bactericides
12164100,in situ
12164200,retarders
12164300,iron controllers
12164400,non emulsifiers
12164500,food or drug additives
12164600,paper plastic and fabric modifiers
