description,cpv
paper materials,22800000
paper products,22800000
industrial use papers,22800000
fuels,09100000
gaseous fuels and additives,09100000#24951200
lubricants and oils and greases and anti corrosives,09210000#24951100
fuel for nuclear reactors,09100000
mining and quarrying machinery and equipment,43000000
well drilling and operation equipment,43121000
oil and gas drilling and exploration equipment,43130000
oil and gas drilling and operation materials,43130000
oil and gas operating and production equipment,43100000
agricultural and forestry and landscape machinery and equipment,16100000
fishing and aquaculture equipment,03300000
heavy construction machinery and equipment,43300000
raw materials processing machinery,42000000
petroleum processing machinery,42000000
textile and fabric machinery and accessories,42700000
lapidary machinery and equipment,42000000
leatherworking repairing machinery and equipment,42700000
industrial process machinery and equipment and supplies,42000000
foundry machines and equipment and supplies,43400000
industrial food and beverage equipment,15000000#42200000
mixers and their parts and accessories,39711211
mass transfer equipment,39721410#42924710#38430000
electronic manufacturing machinery and equipment and accessories,31700000
chicken processing machinery and equipment,42210000
sawmilling and lumber processing machinery and equipment,42642000
metal cutting machinery and accessories,42630000
metal forming machinery and accessories,42630000
rapid prototyping machinery and accessories,42620000#42000000
welding and soldering and brazing machinery and accessories and supplies,42660000
metal treatment machinery,42630000
industrial machine tools,42600000
wire machinery and equipment,44300000
material handling machinery and equipment,42400000
containers and storage,44610000
packaging materials,42921320
industrial refrigeration,42000000
packing supplies,42921300
motor vehicles,34100000
marine transport,34930000
railway and tramway machinery and equipment,34600000
aircraft,34700000
spacecraft,34700000
non motorized cycles,34400000
transportation components and systems,34000000
vehicle bodies and trailers,34200000
transportation services equipment,34900000
aerospace systems and components and equipment,35640000
power sources,31100000
batteries and generators and kinetic power transmission,31440000#31120000
electrical wire and cable and harness,31300000#31210000
power generation,31100000
atomic and nuclear energy machinery and equipment,42100000
hand tools,44511000
hydraulic machinery and equipment,43328100
pneumatic machinery and equipment,42121000
automotive specialty tools,34640000
structural components and basic shapes,44112700
concrete and cement and plaster,44114000#44111200
roads and landscape,71400000#45233000
structural building products,44200000
insulation,45320000
exterior finishing materials,44115000
interior finishing materials,44115000
doors and windows and glass,44221200#44221100
plumbing fixtures,39715300#44115210
construction and maintenance support equipment,43320000
prefabricated structures,43327000
permanent structures,43327000
portable structures,43327000
portable structure building components,43327000
underground mining structures and materials,43100000
structural materials,44200000
castings and casting assemblies,43720000
extrusions,44160000
machined castings,43720000
forgings,42634000
moldings,42600000
rope and chain and cable and wire and strap,44540000#44321000#44333000
hardware,44316400
bearings and bushings and wheels and gears,44400000#42141300
packings glands boots and covers,42921300
grinding and polishing and smoothing materials,43414000
adhesives and sealants,24911200#39812500
paints and primers and finishes,44810000
dyeing and tanning extracts,24221000#24222000
machined raw stock,44330000
industrial optics,32560000
pneumatic and hydraulic and electric control systems,42121000
housings and cabinets and casings,42113120#39141300
machine made parts,42600000
stampings and sheet components,42600000
machined extrusions,42000000
machined forgings,42634000
fabricated pipe assemblies,44400000
fabricated bar stock assemblies,44331000
fabricated structural assemblies,44212000
fabricated sheet assemblies,44172000
fabricated tube assemblies,44164310
fabricated plate assemblies,44171000
refractories,24000000
magnets and magnetic materials,31630000
machinings,42610000
gaskets,34312500
seals,35121500#44425000
sintered parts,14000000
printed circuits and integrated circuits and microassemblies,31681300
discrete semiconductor devices,31712330
passive discrete components,31711100
electronic hardware and component parts and accessories,31711100
electron tube devices and accessories,31531100
automation control devices and components and accessories,38424000
lamps and lightbulbs and lamp components,31521000#31531000
lighting fixtures and accessories,31500000
electrical equipment and components and supplies,31600000
electrical wire management devices and accessories and supplies,31300000
heating and ventilation and air circulation,42500000
fluid and gas distribution,44161110
industrial pumps and compressors,42122000#42123000
industrial filtering and purification,42514300
pipe piping and pipe fittings,44163200
tubes tubing and tube fittings,44164310
laboratory and scientific equipment,38000000
measuring and observing and testing instruments,38300000#38900000
laboratory supplies and fixtures,38000000
veterinary equipment and supplies,33110000
medical apparel and textiles,33199000
patient care and treatment products and supplies,33190000
dental equipment and supplies,33110000
dialysis equipment and supplies,33181100
emergency and field medical services products,33100000
patient exam and monitoring products,33195000
medical facility products,33100000
medical diagnostic imaging and nuclear medicine products,33124000
independent living aids for the physically challenged,85310000
intravenous and arterial administration products,33692510
clinical nutrition,33692200
orthopedic and prosthetic and sports medicine products,33141700
physical and occupational therapy and rehabilitation products,33155000
postmortem and mortuary equipment and supplies,33900000
respiratory and anesthesia and resuscitation products,33670000#33170000
medical sterilization products,33191000
surgical products,33169000
medical training and education supplies,33000000
wound care products,33140000
orthopedic surgical implants,33141700
communications devices and accessories,32522000
components for information technology or broadcasting or telecommunications,32210000#32500000
computer equipment and accessories,30200000
data voice or multimedia network equipment or platforms and accessories,32322000
software,48000000
office machines and their supplies and accessories,30100000
office and desk accessories,39130000#39121100
office supplies,30192000
printing and publishing equipment,30122000
audio and visual presentation and composing equipment,32320000
photographic or filming or video equipment,38650000#32323300
photographic and recording media,38650000#32333000
photographic filmmaking supplies,32354300
light weapons and ammunition,35300000
conventional war weapons,35310000
missiles,35620000
rockets and subsystems,35333200
launchers,35342000
law enforcement,75131000
public safety and control,75131000#75300000
security surveillance and detection,38430000#35125000
personal safety and protection,35113000
fire protection,35111000
water and wastewater treatment supply and disposal,90420000#90500000
industrial laundry and dry cleaning equipment,42716000
janitorial equipment,39713000#39800000
cleaning and janitorial supplies,39713000#39800000
institutional food services equipment,42210000
vending machines,42933000
gambling or wagering equipment,37540000
collectibles and awards,18512000
camping and outdoor equipment and accessories,37414000#37410000
fishing and hunting equipment,37413200#37413000
watersports equipment,37412000
winter sports equipment,37411000
field and court sports equipment,37450000
gymnastics and boxing equipment,37420000#37430000
target and table games and equipment,37460000
fitness equipment,37440000
other sports,37400000
sports equipment and accessories,37400000
recreation and playground and swimming and spa equipment and supplies,37535200#37412300
nuts and seeds,03222000#03111000
meat and poultry products,15110000#15112000
seafood,15250000
dairy products and eggs,1550000#03142500
edible oils and fats,15410000
chocolate and sugars and sweeteners and confectionary products,15842000
seasonings and preservatives,15870000
bread and bakery products,15612500#15811000
prepared and preserved foods,15200000
beverages,15900000
tobacco and smoking products and substitutes,15990000
cereal and pulse products,15613300#03212220
fresh fruits,03220000
organic fresh fruits,03220000
dried fruit,03220000
dried organic fruit,03220000
frozen fruit,03220000
frozen organic fruit,03220000
canned or jarred fruit,03220000#15332000
canned or jarred organic fruit,03220000#15332000
pureed fruit,03220000
fresh vegetables,15331100
organic fresh vegetables,15331100
dried vegetables,15331400#03221000
dried organic vegetables,03212000
frozen vegetables,15331170
frozen organic vegetables,15331170
canned or jarred vegetables,15331400
canned or jarred organic vegetables,15331400
anti infective drugs,33614000#33650000
antineoplastic agents,33652100
cardiovascular drugs,33123000
hematolic drugs,33141500
central nervous system drugs,33660000
autonomic nervous system drugs,33660000
drugs affecting the respiratory tract,33157000
drugs affecting the gastrointestinal system,33612000
hormones and hormone antagonists,33640000
agents affecting water and electrolytes,33600000
immunomodulating drugs,33652000
miscellaneous drug categories,33190000
"drugs affecting the ears, eye, nose and skin",33600000
veterinary nutritional supplement,33617000
floor coverings,44112200
bedclothes and table and kitchen linen and towels,39514100#39513000#39121200
window treatments,90911000
domestic appliances,39700000
domestic kitchenware and kitchen supplies,39221100#39221000
consumer electronics,30100000
domestic wall treatments,39191000
clothing,18400000
footwear,18800000
luggage and handbags and packs and cases,18920000#18939000#18921000
personal care products,33700000
sewing supplies and accessories,39227000
jewelry,18510000#39293500
timepieces,18521000
gemstones,18513400
printed media,22900000
electronic reference material,31710000
signage and accessories,34928470
accommodation furniture,39100000
commercial and industrial furniture,39100000
classroom and instructional and institutional furniture and fixtures,39100000#39150000
merchandising furniture and accessories,39100000
developmental and professional teaching aids and materials and accessories and supplies,39162100
classroom decoratives and supplies,39298900
arts and crafts equipment and accessories and supplies,37823500
musical instruments and parts and accessories,37300000
toys and games,37500000
fisheries and aquaculture,77800000
horticulture,16400000
livestock services,77000000
land and soil preparation and management and protection,90522000
crop production and management and protection,03110000#90522000
forestry,77200000#03440000
wildlife and flora,92534000
water resources development and oversight,71300000#71600000
mining services,45254000
oil and gas exploration services,76100000#76200000
well drilling and construction services,45255500
oil and gas extraction and production enhancement services,76100000#76200000
oil and gas restoration and reclamation services,76100000#76200000
oil and gas data management and processing services,76100000#76200000
oil and gas well project management services,76100000#76200000
building and facility maintenance and repair services,50700000
residential building construction services,45210000
nonresidential building construction services,45215210
heavy construction services,43300000
specialized trade construction and maintenance services,45262000
plastic and chemical industries,24000000#19520000
wood and paper industries,03410000#22800000
metal and mineral industries,14520000
food and beverage industries,15000000
fibers and textiles and fabric industries,19400000
manufacturing support services,79400000#63100000
machinery and transport equipment manufacture,43320000
manufacture of electrical goods and precision instruments,42992000
machining and processing services,42000000
decontamination services,907222000
cleaning and janitorial services,98341130#90910000
refuse disposal and treatment,90510000
toxic and hazardous waste cleanup,90520000
environmental management,90710000
environmental protection,90720000
pollution tracking and monitoring and rehabilitation,90730000
pollutants tracking and monitoring and rehabilitation services,90740000
mail and cargo transport,63100000
passenger transport,60140000#60150000
material packing and handling,63120000
storage,63121100
transport services,60000000
transportation repair or maintenance services,50111000
management advisory services,79400000
human resources services,79414000
legal services,79100000
real estate services,70000000
marketing and distribution,79342000
trade policy and services,79300000
business administration services,79900000
professional engineering services,71300000
computer services,72540000#72610000
economics,79311400
statistics,79300000
manufacturing technologies,48323000#72212323
earth science services,90700000
information technology service delivery,72222300
advertising,79341000
writing and translations,79530000
reproduction services,92511000
photographic services,79961000
graphic design,79822500
professional artists and performers,92312000
utilities,65000000
telecommunications media services,64200000
information services,79140000
development finance,66110000
accounting and bookkeeping services,79211000#79211100
banking and investment,66120000
insurance and retirement services,66510000
credit agencies,66517000
comprehensive health services,85100000
disease prevention and control,85110000
medical practice,85120000
medical science research and experimentation,85120000
alternative and holistic medicine,85110000
food and nutrition services,85300000
medical surgical equipment maintenance refurbishment and repair services,50421000
death and dying support services,85100000
vocational training,80530000
alternative educational systems,80210000
educational institutions,80400000
specialized educational services,80340000
educational facilities,80100000#80200000#80300000
restaurants and catering,55520000
hotels and lodging and meeting facilities,55100000
travel facilitation,63515000
performing arts,92500000
commercial sports,92610000#92622000
entertainment services,92300000
personal appearance,98900000
domestic and personal assistance,98514000
public order and safety,75242000
military services and national defense,75221000
security and personal safety,75241000
political systems and institutions,98132000
socio political conditions,98132000
international relations,75100000
humanitarian aid and relief,85300000
community and social services,85320000
public administration and finance services,66150000
taxation,79221000
trade policy and regulation,98120000
work related organizations,98100000#98900000
religious organizations,98131000
clubs,92300000
civic organizations and associations and movements,98133100#98350000
land parcels,70122000
thoroughfares,45233140
livestock,03322000
birds and fowl,03325000
live fish,03311000
shellfish and aquatic invertebrates,03312200
insects,03325000
wild animals,03320000
domestic pet treatments and accessories and equipment,03140000
livestock feed,15700000
bird and fowl food,15700000
fish food,15700000
dog and cat food,15700000
rodent food,15700000
reptile food,15700000
miscellaneous animal food,15700000
animal shelters,77000000
animal containment,77000000
animal habitats,77000000
saddlery,18910000
harness goods,03140000
vegetable seeds and seedlings,03111700
cereal seeds,03211000#03111000
grass and forage seeds and seedlings,03111000
spice crop seeds and seedlings,03111000
flower seeds and bulbs and seedlings and cuttings,03111900
tree and shrub seeds and cuttings,03111000
residues other than animal feed,03110000
fibrous crop seeds and seedlings,03111000
trees and shrubs,03451300#03452000
floral plants,03121210#03451000
non flowering plants,03451000
dried floral products,03121210
organic fertilizers and plant nutrients,24400000
chemical fertilizers and plant nutrients,24400000
herbicides,24453000
pesticides or pest repellents,24451000
pest control devices,24451000
live blue or lavender or purple rose bushes,03100000
live chocolate or brown rose bushes,03100000
live cream rose bushes,03100000
live green or lime rose bushes,03100000
live light pink rose bushes,03100000
live multi-colored pink rose bushes,03100000
live orange rose bushes,03100000
live peach rose bushes,03100000
live pink rose bushes,03100000
live red or burgundy rose bushes,03100000
live sweetheart rose bushes,03100000
live white rose bushes,03100000
live yellow rose bushes,03100000
live spray rose bushes,03100000
live anthuriums,03100000
live alliums,03100000
live alstroemerias,03100000
live amaranthuses,03100000
live amaryllises,03100000
live anemone,03100000
live asclepias,03100000
live asters,03100000
live berzelia lanuginosas,03100000
live bouvardias,03100000
live brodiaeas,03100000
live callas,03100000
live carnations,03100000
live celosias,03100000
live daffodils,03100000
live dahlias,03100000
live delphiniums,03100000
live dianthuses,03100000
live eremuruses,03100000
live ericas,03100000
live euphorbias,03100000
live freesias,03100000
live fritillarias,03100000
live genistas,03100000
live gerberas,03100000
live ginger plants,03100000
live gladioluses,03100000
live godetias,03100000
live guzmanias,03100000
live gypsophilias,03100000
live heather,03100000
live heliconias,03100000
live hyacinths,03100000
live hydrangeas,03100000
live irises,03100000
live kangaroo paws,03100000
live larkspurs,03100000
live leptos,03100000
live lilacs,03100000
live lilies,03100000
live limoniums,03100000
live lisianthuses,03100000
live muscari plants or grape hyacinths,03100000
live narcissus,03100000
live dendrobium orchids,03100000
live ornamental peppers,03100000
live ornithogalums,03100000
live peonies,03100000
live proteas and leucadendrons and banksias,03100000
live ranunculuses,03100000
live scabiosas,03100000
live scotch brooms,03100000
live snap dragons,03100000
live statices,03100000
live matthiola incana or stock flowers,03100000
live sunflowers,03100000
live sweet peas,03100000
live thistles,03100000
live tulips,03100000
live waxflowers,03100000
live yarrows,03100000
live zinnias,03100000
live agapanthuses,03100000
live alchemillas,03100000
live alstilbes,03100000
live angelicas,03100000
live artemesias,03100000
live artichoke flowers,03100000
live astrantias,03100000
live banana flowers,03100000
live baptisias,03100000
live boronias,03100000
live bromelias,03100000
live brunias,03100000
live calatheas,03100000
live calcynias,03100000
live calendulas,03100000
live campanulas or bellflowers,03100000
live cestrums,03100000
live chasmanthes,03100000
live costuses,03100000
live crocosmias,03100000
live cytanthuses,03100000
live rumex or dock flowers,03100000
live eryngiums,03100000
live feverfews,03100000
live forget me nots,03100000
live gaillardias,03100000
live gentianas,03100000
live glamini gladioluses,03100000
live gloriosas,03100000
live gomphrena globosa or globe amaranth,03100000
live hellebores,03100000
live ixias,03100000
live liatrises,03100000
live lysimachias,03100000
live maracas,03100000
live marigolds,03100000
live mimosas,03100000
live nerines,03100000
live pepperberry flowers,03100000
live phlox,03100000
live physostegias or obedient plant,03100000
live saponarias,03100000
live sarracenias,03100000
live scillas,03100000
live sedums,03100000
live single species or varieties of flowers,03100000
live solomons seals,03100000
live tanacetums,03100000
live tracheliums,03100000
live tuberosas,03100000
live tweedias,03100000
live veronicas,03100000
live watsonias,03100000
live button chrysanthemums,03100000
live daisy pompon chrysanthemums,03100000
live cremon disbud chrysanthemums,03100000
live football disbud chrysanthemums,03100000
live spider chrysanthemums,03100000
live novelty chrysanthemums,03100000
live santini chrysanthemums,03100000
fresh cut blue or lavender or purple rose ,03100000
fresh cut chocolate or brown rose ,03100000
fresh cut cream rose ,03100000
fresh cut green or lime rose ,03100000
fresh cut light pink rose ,03100000
fresh cut multi-colored pink rose ,03100000
fresh cut orange rose ,03100000
fresh cut peach rose ,03100000
fresh cut pink rose ,03100000
fresh cut red or burgundy rose ,03100000
fresh cut sweetheart rose ,03100000
fresh cut white rose ,03100000
fresh cut yellow rose ,03100000
fresh cut spray roses,03100000
fresh cut anthuriums,03100000
fresh cut alliums,03100000
fresh cut alstroemerias,03100000
fresh cut amaranthuses,03100000
fresh cut amaryllises,03100000
fresh cut anemone,03100000
fresh cut asclepias,03100000
fresh cut asters,03100000
fresh cut berzelia lanuginosas,03100000
fresh cut bouvardias,03100000
fresh cut brodiaeas,03100000
fresh cut callas,03100000
fresh cut carnations,03100000
fresh cut celosias,03100000
fresh cut daffodils,03100000
fresh cut dahlias,03100000
fresh cut delphiniums,03100000
fresh cut dianthuses,03100000
fresh cut eremuruses,03100000
fresh cut ericas,03100000
fresh cut euphorbias,03100000
fresh cut freesias,03100000
fresh cut fritillarias,03100000
fresh cut genistas,03100000
fresh cut gerberas,03100000
fresh cut ginger plants,03100000
fresh cut gladioluses,03100000
fresh cut godetias,03100000
fresh cut guzmanias,03100000
fresh cut gypsophilias,03100000
fresh cut heather,03100000
fresh cut heliconias,03100000
fresh cut hyacinths,03100000
fresh cut hydrangeas,03100000
fresh cut irises,03100000
fresh cut kangaroo paws,03100000
fresh cut larkspurs,03100000
fresh cut leptos,03100000
fresh cut lilacs,03100000
fresh cut lilies,03100000
fresh cut limoniums,03100000
fresh cut lisianthuses,03100000
fresh cut muscari blooms or grape hyacinths,03100000
fresh cut narcissus,03100000
fresh cut dendrobium orchids,03100000
fresh cut ornamental peppers,03100000
fresh cut ornithogalums,03100000
fresh cut peonies,03100000
fresh cut proteas and leucadendrons and banksias,03100000
fresh cut ranunculuses,03100000
fresh cut scabiosas,03100000
fresh cut scotch brooms,03100000
fresh cut snap dragons,03100000
fresh cut statices,03100000
fresh cut matthiola incana or stock flowers,03100000
fresh cut sunflowers,03100000
fresh cut sweet peas,03100000
fresh cut thistles,03100000
fresh cut tulips,03100000
fresh cut waxflowers,03100000
fresh cut yarrows,03100000
fresh cut zinnias,03100000
fresh cut agapanthuses,03100000
fresh cut alchemillas,03100000
fresh cut alstilbes,03100000
fresh cut angelicas,03100000
fresh cut artemesias,03100000
fresh cut artichoke flowers,03100000
fresh cut astrantias,03100000
fresh cut banana flowers,03100000
fresh cut baptisias,03100000
fresh cut boronias,03100000
fresh cut bromelias,03100000
fresh cut brunias,03100000
fresh cut calatheas,03100000
fresh cut calcynias,03100000
fresh cut calendulas,03100000
fresh cut campanulas or bellflowers,03100000
fresh cut cestrums,03100000
fresh cut chasmanthes,03100000
fresh cut costuses,03100000
fresh cut crocosmias,03100000
fresh cut cytanthuses,03100000
fresh cut rumex or dock flowers,03100000
fresh cut eryngiums,03100000
fresh cut feverfews,03100000
fresh cut forget me nots,03100000
fresh cut gaillardias,03100000
fresh cut gentianas,03100000
fresh cut glamini gladioluses,03100000
fresh cut gloriosas,03100000
fresh cut gomphrena globosa or globe amaranth,03100000
fresh cut hellebores,03100000
fresh cut ixias,03100000
fresh cut liatrises,03100000
fresh cut lysimachias,03100000
fresh cut maracas,03100000
fresh cut marigolds,03100000
fresh cut mimosas,03100000
fresh cut nerines,03100000
fresh cut pepperberry flowers,03100000
fresh cut phlox,03100000
fresh cut physostegias or obedient plant,03100000
fresh cut saponarias,03100000
fresh cut sarracenias,03100000
fresh cut scillas,03100000
fresh cut sedums,03100000
fresh cut single species or varieties of flowers,03100000
fresh cut solomons seals,03100000
fresh cut tanacetums,03100000
fresh cut tracheliums,03100000
fresh cut tuberosas,03100000
fresh cut tweedias,03100000
fresh cut veronicas,03100000
fresh cut watsonias,03100000
fresh cut button chrysanthemums,03100000
fresh cut daisy pompon chrysanthemums,03100000
fresh cut cremon disbud chrysanthemums,03100000
fresh cut football disbud chrysanthemums,03100000
fresh cut spider chrysanthemums,03100000
fresh cut novelty chrysanthemums,03100000
fresh cut santini chrysanthemums,03100000
fresh cut rose bouquets,03100000
fresh cut carnation bouquets,03100000
fresh cut mini carnation bouquets,03100000
fresh cut lily bouquets,03100000
fresh cut pompon chrysanthemum bouquets,03100000
fresh cut alstroemeria bouquets,03100000
fresh cut tropical flower bouquets,03100000
fresh cut mixed floral bouquets,03100000
dried cut blue or lavender or purple rose ,03100000
dried cut chocolate or brown rose ,03100000
dried cut cream rose ,03100000
dried cut green or lime rose ,03100000
dried cut light pink rose ,03100000
dried cut multi-colored pink rose ,03100000
dried cut orange rose ,03100000
dried cut peach rose ,03100000
dried cut pink rose ,03100000
dried cut red or burgundy rose ,03100000
dried cut sweetheart rose ,03100000
dried cut white rose ,03100000
dried cut yellow rose ,03100000
dried cut spray roses ,03100000
dried cut anthuriums,03100000
dried cut alliums,03100000
dried cut alstroemerias,03100000
dried cut amaranthuses,03100000
dried cut amaryllises,03100000
dried cut anemone,03100000
dried cut asclepias,03100000
dried cut asters,03100000
dried cut berzelia lanuginosas,03100000
dried cut bouvardias,03100000
dried cut brodiaeas,03100000
dried cut callas,03100000
dried cut carnations,03100000
dried cut celosias,03100000
dried cut daffodils,03100000
dried cut dahlias,03100000
dried cut delphiniums,03100000
dried cut dianthuses,03100000
dried cut eremuruses,03100000
dried cut ericas,03100000
dried cut euphorbias,03100000
dried cut freesias,03100000
dried cut fritillarias,03100000
dried cut genistas,03100000
dried cut gerberas,03100000
dried cut ginger plants,03100000
dried cut gladioluses,03100000
dried cut godetias,03100000
dried cut guzmanias,03100000
dried cut gypsophilias,03100000
dried cut heather,03100000
dried cut heliconias,03100000
dried cut hyacinths,03100000
dried cut hydrangeas,03100000
dried cut irises,03100000
dried cut kangaroo paws,03100000
dried cut larkspurs,03100000
dried cut leptos,03100000
dried cut lilacs,03100000
dried cut lilies,03100000
dried cut limoniums,03100000
dried cut lisianthuses,03100000
dried cut muscari blooms or grape hyacinths,03100000
dried cut narcissus,03100000
dried cut dendrobium orchids,03100000
dried cut ornamental peppers,03100000
dried cut ornithogalums,03100000
dried cut peonies,03100000
dried cut proteas and leucadendrons and banksias,03100000
dried cut ranunculuses,03100000
dried cut scabiosas,03100000
dried cut scotch brooms,03100000
dried cut snap dragons,03100000
dried cut statices,03100000
dried cut matthiola incana or stock flowers,03100000
dried cut sunflowers,03100000
dried cut sweet peas,03100000
dried cut thistles,03100000
dried cut tulips,03100000
dried cut waxflowers,03100000
dried cut yarrows,03100000
dried cut zinnias,03100000
dried cut agapanthuses,03100000
dried cut alchemillas,03100000
dried cut alstilbes,03100000
dried cut angelicas,03100000
dried cut artemesias,03100000
dried cut artichoke flowers,03100000
dried cut astrantias,03100000
dried cut banana flowers,03100000
dried cut baptisias,03100000
dried cut boronias,03100000
dried cut bromelias,03100000
dried cut brunias,03100000
dried cut calatheas,03100000
dried cut calcynias,03100000
dried cut calendulas,03100000
dried cut campanulas or bellflowers,03100000
dried cut cestrums,03100000
dried cut chasmanthes,03100000
dried cut costuses,03100000
dried cut crocosmias,03100000
dried cut cytanthuses,03100000
dried cut rumex or dock flowers,03100000
dried cut eryngiums,03100000
dried cut feverfews,03100000
dried cut forget me nots,03100000
dried cut gaillardias,03100000
dried cut gentianas,03100000
dried cut glamini gladioluses,03100000
dried cut gloriosas,03100000
dried cut gomphrena globosa or globe amaranth,03100000
dried cut hellebores,03100000
dried cut ixias,03100000
dried cut liatrises,03100000
dried cut lysimachias,03100000
dried cut maracas,03100000
dried cut marigolds,03100000
dried cut mimosas,03100000
dried cut nerines,03100000
dried cut pepperberry flowers,03100000
dried cut phlox,03100000
dried cut physostegias or obedient plant,03100000
dried cut saponarias,03100000
dried cut sarracenias,03100000
dried cut scillas,03100000
dried cut sedums,03100000
dried cut single species or varieties of flowers,03100000
dried cut solomons seals,03100000
dried cut tanacetums,03100000
dried cut tracheliums,03100000
dried cut tuberosas,03100000
dried cut tweedias,03100000
dried cut veronicas,03100000
dried cut watsonias,03100000
dried cut button chrysanthemums,03100000
dried cut daisy pompon chrysanthemums,03100000
dried cut cremon disbud chrysanthemums,03100000
dried cut football disbud chrysanthemums,03100000
dried cut spider chrysanthemums,03100000
dried cut novelty chrysanthemums,03100000
dried cut santini chrysanthemums,03100000
fresh cut aspidistras,03221000
fresh cut chile greens,03221000
fresh cut copperbeech greens,03221000
fresh cut eucalyptus greens,03221000
fresh cut ferns,03451000
fresh cut leaves or foliage,03451000
fresh cut grasses,03441000
fresh cut huckleberry,03220000
fresh cut ivy,03451000
fresh cut integrifolia,03220000
fresh cut myrtle,03221000
fresh cut oak leaves,03221000
fresh cut oregonia,03221000
fresh cut pittosporum,03221000
fresh cut single species greens,03221000
minerals,14523100
ores,14600000
base metals,14700000
precious metals,14523000
dirt and soil,14212400
stone,14212300
sand,14211000
clays,14221000
sap,03450000
wood,03410000
forestry byproducts,03440000
plant fibers,03115000
perfumery products,03117100
engineered wood products,03410000
animal hides and skins and animal textile materials,19100000#19200000
other animal products,03142000
non metallic waste and scrap,14630000#03416000#19620000
food and tobacco waste and scrap,15992000#15800000
fibers,03115000
threads,19400000
yarns,19400000
silk fabrics,19431000
wool fabrics,19220000
cotton fabrics,19212000#19433000
synthetic fabrics,19211000#19440000
fabrics of vegetable material other than cotton,19200000
