Description,CPV
electricity,09310000
steam hot water and associated products,09320000
hot water,09321000
steam,09322000
district heating,09323000
district heating,09324000
solar energy,09330000
solar panel,09331000
solar collectors for heat production,09331100
solar modules,09331200
solar energy plant,09332000
nuclear fuel,09340000
uranium,09341000
plutonium,09342000
radioactive materials,09343000
radioisotopes,09344000
mining base metals and related products,14000000
sand and clay,14200000
gravel sand crushed stone and aggregates,14210000
sandy,14211000
natural sand,14211100
grain stone chips stone powder pebbles gravel crushed stone stone mixtures sand and gravel mixtures and other aggregates,14212000
pebbles and gravel,14212100
pebble,14212110
gravel,14212120
aggregate materials,14212200
mixtures of sand and gravel,14212210
crushed stone,14212300
puck,14212310
crushed granite,14212320
crushed basalt,14212330
earth,14212400
top soil,14212410
underground,14212420
stone chips,14212430
macadam asphalt and asphalt sand,14213000
macadam,14213100
asphalt,14213200
asphalt sand,14213300
clay and kaolin,14220000
clay,14221000
kaolin,14222000
chemical minerals and fertilizing minerals,14300000
fertilizer minerals,14310000
natural calcium aluminum calcium phosphate and raw natural potassium salts,14311000
natural calcium,14311100
aluminum calcium phosphates,14311200
raw natural potassium salts,14311300
sulfur pyrite,14312000
do not burn pyrite,14312100
chemical minerals,14320000
salt and pure sodium chloride,14400000
rock salt,14410000
sea salt,14420000
evaporated salt and pure sodium chloride,14430000
brine,14450000
products related to mining and quarrying and quarrying,14500000
precious and semi-precious stones; pumice stone; emery; natural abrasives other minerals and precious metals,14520000
precious and semi-precious stones,14521000
gemstone,14521100
dust or powder of precious stones,14521140
semi-precious stone,14521200
dust or powder of semi-precious stones,14521210
industrial diamonds; pumice stone; emery and other natural abrasives,14522000
pumice stone,14522100
industrial diamonds,14522200
emery,14522300
natural abrasives,14522400
related minerals precious metals and products thereof,14523000
minerals,14523100
gold,14523200
sølv,14523300
platina,14523400
metal ores and alloys,14600000
metallic ores,14610000
iron ores,14611000
non-ferrous metal ores,14612000
kobbermalm,14612100
nikkelmalm,14612200
aluminiummalm,14612300
edelmetallmalm,14612400
blymalm,14612500
zinkmalm,14612600
tinnmalm,14612700
uranium and thorium ore,14613000
uranmalmer,14613100
thoriummalmer,14613200
various ores,14614000
alloys,14620000
iron alloys,14621000
jernlegeringer ikke omfattet av eksf,14621100
ferro-manganese,14621110
iron chrome,14621120
iron nickel,14621130
steel,14622000
slag waste scrap and scrap of iron,14630000
base metals,14700000
iron lead zinc tin and copper,14710000
iron,14711000
råjern,14711100
lead,14712000
zinc,14713000
tin,14714000
cups,14715000
aluminium nickel scandium titanium and vanadium,14720000
aluminum,14721000
aluminiumoksid,14721100
nickel,14722000
scandium,14723000
titanium,14724000
vanadium,14725000
chromium manganese cobalt yttrium and zirconium,14730000
chrome,14731000
manganese,14732000
cobalt,14733000
yttrium,14734000
zirconium,14735000
molybdenum technetium ruthenium and rhodium,14740000
the molybdenum,14741000
technetium,14742000
ruthenium,14743000
rhodium,14744000
cadmium lutetium hafnium tantalum and tungsten,14750000
cadmium,14751000
lutetium,14752000
hafnium,14753000
tantalum,14754000
tungsten,14755000
iridium gallium indium thalliums and barium,14760000
iridium,14761000
gallium,14762000
indium,14763000
thalliums,14764000
barium,14765000
cesium strontium rubidium and calcium,14770000
cesium,14771000
strontium,14772000
rubidium,14773000
calcium,14774000
potassium magnesium sodium and lithium,14780000
potassium,14781000
magnesium,14782000
sodium,14783000
lithium,14784000
niobium osmium rhenium and palladium,14790000
niobium,14791000
osmium,14792000
rhenium,14793000
palladium,14794000
various non-metallic mineral products,14800000
abrasive products,14810000
millstone grinding stone and grinding wheels,14811000
møllestein,14811100
slipestein,14811200
slipeskiver,14811300
abrasives such as powder or grain,14812000
artificial corundum (alumina),14813000
artificial graphite,14814000
glass,14820000
fiberglass,14830000
recycled secondary raw materials,14900000
recycled secondary raw materials of metal,14910000
recycled non-metallic secondary raw materials,14920000
ashes and residues containing metals,14930000
food beverages tobacco and related products,15000000
animal products meat and meat products,15100000
meat,15110000
beef,15111000
oksekjøtt,15111100
kalvekjøtt,15111200
poultry,15112000
ferskt fjærkre,15112100
geez,15112110
turkeys,15112120
chickens,15112130
ducks,15112140
fjærkre lever,15112300
goose and duck liver,15112310
pork,15113000
offal,15114000
lamb and mutton,15115000
lammekjøtt,15115100
fårekjøtt,15115200
goat meat,15117000
horse donkey mule or mule meat,15118000
hestekjøtt,15118100
esel muldyr eller mulesel kjøtt,15118900
various meats,15119000
kanin,15119100
harekjøtt,15119200
vilt,15119300
froskelår,15119400
duer,15119500
fiskekjøtt,15119600
meat products,15130000
preserved meat and meat products,15131000
pølsekjøttprodukter,15131100
sausage meat,15131110
sausage products,15131120
sausages,15131130
blood pudding and other blood sausages,15131134
poultry sausages,15131135
tørket saltet røkt eller krydret kjøtt,15131200
salted ham,15131210
bacon,15131220
salami,15131230
leverprodukter,15131300
post office,15131310
goose or duck liver products,15131320
produkter av svinekjøtt,15131400
ham,15131410
meat balls,15131420
ready meals prepared from pork,15131490
produkter av fjærkre,15131500
okse- og kalvekjøttprodukter,15131600
beef meatballs,15131610
ground beef,15131620
beef burger,15131640
kjøttprodukter,15131700
prepared and preserved fish,15200000
fish fillets fish liver and roe,15210000
fish fillets,15211000
ferske fiskefileter,15211100
fishing roe,15212000
fish liver,15213000
frozen fish fish fillets and other fish meat,15220000
frozen fish,15221000
frozen fish products,15229000
dried or salted fish; fish in brine; smoked fish,15230000
dried fish,15231000
salted fish,15232000
fish in brine,15233000
smoked fish,15234000
canned fish,15235000
canned fish and otherwise prepared or preserved fish,15240000
breaded or canned fish,15241000
hermetisert laks,15241100
tilberedt eller konservert sild,15241200
sardiner,15241300
hermetisert tunfisk,15241400
makrell,15241500
ansjoser,15241600
fiskepinner,15241700
panerte fiskeprodukter,15241800
prepared fish dishes,15242000
fish products,15243000
caviar and fish eggs,15244000
kaviar,15244100
fiskeegg,15244200
fish and shellfish,15250000
frozen crustaceans,15251000
prepared or preserved crustaceans,15252000
shellfish products,15253000
fruit vegetables and similar products,15300000
potatoes and potato products,15310000
frozen potatoes,15311000
pommes frites,15311100
frosne poteter i terninger skiver og annet,15311200
potato products,15312000
potetmospulver,15312100
pommes frites delvis fritert,15312200
potetgull,15312300
potato crisps flavored,15312310
potetsnacks,15312400
potetkroketter,15312500
processed potatoes,15313000
fruit and vegetable power,15320000
fruit juice,15321000
appelsinjuice,15321100
grapefruktjuice,15321200
sitronjuice,15321300
ananasjuice,15321400
druejuice,15321500
eplejuice,15321600
juiceblandinger ikke konsentrert,15321700
juicekonsentrater,15321800
vegetable juices,15322000
tomatjuice,15322100
processed fruits and vegetables,15330000
processed vegetables,15331000
ferske eller frosne grønnsaker,15331100
processed root vegetables,15331110
processed root vegetables,15331120
beans peas peppers tomatoes and other vegetables,15331130
processed beans,15331131
processed peas,15331132
yellow peas,15331133
processed tomatoes,15331134
processed mushrooms,15331135
processed peppers,15331136
bean sprouts,15331137
truffles,15331138
leafy and cruciferous vegetables,15331140
processed cabbage,15331142
processed legume seeds,15331150
frozen vegetables,15331170
grønnsaker konservert og/eller hermetisert,15331400
beans in tomato sauce,15331410
white beans,15331411
canned tomatoes,15331420
canned tomatoes,15331423
tomato puree,15331425
concentrated tomato puree,15331427
tomato sauce,15331428
canned mushrooms,15331430
processed olives,15331450
canned vegetables,15331460
canned sauerkraut,15331461
canned peas,15331462
canned beans peeled,15331463
hermetiserte bønner hele,15331464
hermetiserte asparges,15331465
hermetiserte oliven,15331466
sukkermais,15331470
midlertidig konserverte grønnsaker,15331480
grønnsaker konservert i eddik,15331500
processed fruits and nuts,15332000
bearbeidet frukt,15332100
bearbeidede epler,15332140
bearbeidede pærer,15332150
bearbeidede bananer,15332160
rabarbra,15332170
meloner,15332180
syltetøy og marmelade; fruktgelé; smørepålegg av frukter eller nøtter,15332200
marmelader,15332230
appelsinmarmelade,15332231
sitronmarmelade,15332232
fruktgeléer,15332240
smørepålegg av frukt,15332250
smørepålegg av nøtter,15332260
peanøttsmør,15332261
fruktpuréer,15332270
syltetøy,15332290
aprikossyltetøy,15332291
bjørnebærsyltetøy,15332292
solbærsyltetøy,15332293
kirsebærsyltetøy,15332294
bringebærsyltetøy,15332295
jordbærsyltetøy,15332296
bearbeidede nøtter,15332300
ristete eller saltede nøtter,15332310
konservert frukt,15332400
tørket frukt,15332410
bearbeidede korinter,15332411
bearbeidede rosiner,15332412
små rosiner,15332419
vegetable by-products,15333000
animal and vegetable oils and fats,15400000
crude animal or vegetable oils and fats,15410000
animal or vegetable oils,15411000
vegetabilske oljer,15411100
olivenolje,15411110
sesamolje,15411120
jordnøttolje,15411130
kokosnøttolje,15411140
matolje,15411200
stekeolje,15411210
fatty substances,15412000
animalske fettstoffer,15412100
vegetabilske fettstoffer,15412200
solid residues of vegetable fats or oils,15413000
oljekaker,15413100
refined oils and fats,15420000
refined oils,15421000
refined fats,15422000
hydrogenated or esterified oils or fats,15423000
vegetable wax,15424000
edible fats,15430000
margarine and similar products,15431000
margarin,15431100
flytende margarin,15431110
magre smørbare produkter med redusert fettinnhold,15431200
dairy products,15500000
milk and cream,15510000
milk,15511000
pasteurisert melk,15511100
sterilisert melk,15511200
processed milk with a long shelf life,15511210
skummetmelk,15511300
lettmelk,15511400
helmelk,15511500
kondensert melk,15511600
tørrmelk,15511700
cream,15512000
kaffefløte,15512100
fløte med et fettinnhold på minst45 vektprosent,15512200
tykk fløte med et fettinnhold på minst63 vektprosent,15512300
kremfløte,15512900
butter,15530000
cheese products,15540000
east,15541000
fresh cheese,15542000
cottage cheese,15542100
mjukost,15542200
feta ost,15542300
grated powdered blue-melted and other cheeses,15543000
blåmuggost,15543100
cheddarost,15543200
revet ost,15543300
parmesanost,15543400
hard cheese,15544000
butter cheese,15545000
assorted dairy products,15550000
yoghurt and other fermented milk products,15551000
yoghurt,15551300
natural yogurt,15551310
flavored yogurt,15551320
kjernemelk,15551500
casein,15552000
lactose or lactose syrup,15553000
dew,15554000
ice cream and similar products,15555000
iskrem,15555100
sorbet,15555200
cereal products starches and starch products,15600000
cereal products,15610000
hulled rice,15611000
cereal or vegetable flour and related products,15612000
hvetemel,15612100
whole grain flour,15612110
bread baking flour,15612120
plain flour,15612130
flour for finer pastries,15612150
self-raising flour,15612190
mel av korn,15612200
cornmeal,15612210
rice flour,15612220
fint- og grovmalt vegetabilsk mel,15612300
blandinger til bakeriprodukter,15612400
ready-made cake mixes,15612410
ready-made baking mixes,15612420
bakeriprodukter,15612500
products of grain kernels,15613000
malt havre,15613100
produkter av korn,15613300
ready-made cereal breakfast products,15613310
cornflakes,15613311
musli eller tilsvarende produkt,15613313
puffet hvete,15613319
oatmeal,15613380
processed rice,15614000
langkornet ris,15614100
polert ris,15614200
knust ris,15614300
bran,15615000
starch and starch products,15620000
corn oil,15621000
glucose and glucose products; fructose and fructose products,15622000
glukose og glukoseprodukter,15622100
glucose,15622110
glucose syrup,15622120
fruktose og fruktoseprodukter,15622300
fructose,15622310
fructose preparations,15622320
fruktoseoppløsninger,15622321
fruktosesirup,15622322
starch,15623000
tapioca,15624000
semolina,15625000
vanilla cream powder,15626000
feed mixtures for animals,15700000
prepared animal feed for farm animals and other animals,15710000
fish feed,15711000
dry food,15712000
feed for companion animals,15713000
various nutrients,15800000
bread products fresh pastries and cakes,15810000
bread products,15811000
brød,15811100
rundstykker,15811200
croissanter,15811300
tebrød (crumpets),15811400
ferdiglagde brødprodukter,15811500
sandwiches,15811510
ferdiglagde smørbrød/sandwicher,15811511
pastries and cakes,15812000
bakverk,15812100
tarts,15812120
middags terter,15812121
dessert terter,15812122
kaker,15812200
breakfast items,15813000
wafers and biscuits; pastries and cakes with preservatives,15820000
toasted bread products and pastries,15821000
ristete brødprodukter,15821100
toast,15821110
crispbread,15821130
caverns,15821150
småkaker/kjeks,15821200
sugar and similar products,15830000
sugar,15831000
hvitt sukker,15831200
lønnesukker og -sirup,15831300
melasse,15831400
sukker sirup,15831500
honning,15831600
waste products from sugar production,15832000
sugar products,15833000
desserter,15833100
tart bases,15833110
cocoa; chocolate and sugar products/sweets,15840000
cocoa,15841000
kakaomasse,15841100
cocoa butter fat or oil,15841200
unsweetened cocoa powder,15841300
sweetened cocoa powder,15841400
chocolate and confectionery/sweets,15842000
chocolate,15842100
chocolate products,15842200
drinking chocolate,15842210
chocolate bars,15842220
confectionery sweets,15842300
drop candy,15842310
nougat,15842320
fruit nuts or fruit peel preserved with sugar,15842400
pasta products,15850000
flour products,15851000
pasta products uncooked,15851100
ready-made pasta and couscous,15851200
ready-made pasta,15851210
stuffed pasta,15851220
lasagna,15851230
couscous,15851250
canned pasta,15851290
coffee tea and similar products,15860000
coffee,15861000
burnt coffee,15861100
decaffeinated coffee,15861200
coffee substitutes,15862000
tea,15863000
green tea,15863100
black tea,15863200
products of tea or maté,15864000
tea bags,15864100
herbal tea,15865000
flavorings and spices,15870000
vinegar; sauces; mixed flavorings; mustard powder and flour; prepared mustard,15871000
vinegar and vinegar substitutes,15871100
vinegar or equivalent,15871110
sauces mixed flavorings and mixed spices,15871200
soy sauces,15871210
tomato ketchup,15871230
mustard,15871250
sauces,15871260
mixed flavorings,15871270
majones,15871273
smørepålegg,15871274
chutney,15871279
herbs and spices,15872000
pepper,15872100
spice,15872200
herbs,15872300
salt,15872400
ginger,15872500
special foodstuffs,15880000
homogenized nutritional products,15881000
diet products,15882000
baby food,15884000
various food products and dried goods,15890000
soups and broths,15891000
meat soups,15891100
fish soup,15891200
mixed soups,15891300
soups,15891400
soup mixes,15891410
broths,15891500
soup power,15891600
mixtures for soup stock,15891610
vegetable soups,15891900
vegetable juices extracts pectin substances and thickeners,15892000
vegetable juices,15892100
vegetable extracts,15892200
smoothing agents,15892400
dry goods,15893000
food mixtures,15893100
dessert mixes,15893200
sauce mixes,15893300
processed nutritional products,15894000
vegan food,15894100
ready meals,15894200
ready meals for schools,15894210
prepared meals for hospitals,15894220
ready meals,15894300
snacks between meals,15894400
food for vending machines,15894500
order,15894600
delicatessen,15894700
fast food products,15895000
hamburgers,15895100
deep-frozen goods,15896000
boxed food and emergency rations,15897000
emergency rations,15897100
canned goods,15897200
food packages,15897300
yeast,15898000
baking soda,15899000
beverages tobacco and related products,15900000
distilled alcoholic beverages,15910000
alcoholic beverages,15911000
booze,15911100
liqueurs,15911200
wines,15930000
wines without flavorings,15931000
sparkling wine,15931100
table wine,15931200
port wine,15931300
madeira,15931400
grape must,15931500
sherry,15931600
wine berm,15932000
cider and other fruit wines,15940000
cider,15941000
fruit wines,15942000
undistilled fermented beverages,15950000
vermouth,15951000
malt beer,15960000
beer,15961000
pilsner beer,15961100
berme from brewing or distilling,15962000
non-alcoholic beverages,15980000
mineral water,15981000
mineral water without carbonation,15981100
carbonated mineral water,15981200
water in solid form,15981300
ice,15981310
snow,15981320
flavored mineral water,15981400
soft drinks,15982000
juice concentrated fruit juice,15982100
chocolate milk,15982200
tobacco tobacco products and related equipment,15990000
tobacco products,15991000
cigars,15991100
cigarillos,15991200
cigarettes,15991300
tobacco,15992000
processed tobacco,15992100
tobacco trade goods,15993000
cigarette paper and filter paper,15994000
cigarette paper,15994100
filter paper,15994200
agricultural machinery,16000000
agricultural and forestry machinery for soil preparation or cultivation,16100000
plows and disc harrows,16110000
harrows rippers cultivators weeding or chopping machines,16120000
sowing planting or transplanting machines,16130000
fertilizer spreaders,16140000
fertilizer spreaders,16141000
drums for lawns or sports fields,16150000
various gardening equipment,16160000
harvesting machines,16300000
mowers,16310000
lawnmowers,16311000
lawnmowers for parks or sports fields,16311100
machines for use in high cooking,16320000
straw or baler balers,16330000
collecting balers,16331000
harvesting machines and threshing machines,16340000
spraying machines for use in agriculture or horticulture,16400000
self-loading or self-unloading trailers and trailers for agriculture,16500000
self-loading agricultural trailers,16510000
self-emptying agricultural trailers,16520000
self-loading trailers for agriculture,16530000
relieving trailers for agriculture,16540000
special machines for agriculture or forestry,16600000
machines for cleaning sorting or grading eggs fruit or other agricultural products,16610000
machines for cleaning agricultural products,16611000
machines for cleaning eggs,16611100
machines for cleaning fruit,16611200
machines for sorting or grading agricultural products,16612000
egg sorting or grading machines,16612100
fruit sorting or grading machines,16612200
machines for cleaning and sorting or grading seeds grains or dried vegetables,16613000
milking machines,16620000
machines for the preparation of animal feed,16630000
machines for beekeeping,16640000
machinery for poultry farming,16650000
incubators and chicken mothers,16651000
tractors,16700000
agricultural tractors that are operated on foot,16710000
used tractors,16720000
traction motors,16730000
parts for agricultural and forestry machinery,16800000
parts for agricultural machinery,16810000
parts for forestry machinery,16820000
clothing footwear luggage items and accessories,18000000
professional clothing special work clothing and accessories,18100000
work clothes,18110000
clothing for use in industry,18113000
coveralls,18114000
special clothing,18130000
flying clothes,18132000
flying jackets,18132100
flying suits,18132200
workwear accessories,18140000
work gloves,18141000
safety visors,18142000
protective equipment,18143000
outdoor clothing,18200000
coats,18210000
capes,18211000
throw capes,18212000
windbreakers,18213000
weatherproof clothing,18220000
waterproof clothing,18221000
waterproof cloaks,18221100
anoraks,18221200
raincoats,18221300
business attire,18222000
suits,18222100
ensembles,18222200
jackets and blazers,18223000
blazers,18223100
jackets,18223200
articles of clothing made of coated or impregnated textile fabrics,18224000
various outerwear,18230000
dresses,18231000
skirt,18232000
shorts/shorts,18233000
pants,18234000
pullovers cardigans and similar garments,18235000
sweaters,18235100
cardigans,18235200
sweatshirts/college sweaters,18235300
vests,18235400
items of clothing,18300000
underwear,18310000
petticoats,18311000
underwear for legs,18312000
panties,18313000
bathrobes,18314000
stockings,18315000
tights,18316000
socks,18317000
night island,18318000
night shirts,18318100
breaker,18318200
pajamas,18318300
undershirts,18318400
nightgowns,18318500
bras corsets garters and similar products,18320000
bras,18321000
corsets,18322000
stocking holders,18323000
t-shirts and shirts,18330000
t shirts,18331000
shirts,18332000
polo shirts,18333000
special clothing and accessories,18400000
special clothing,18410000
children's clothing,18411000
sportswear,18412000
training suits,18412100
sports shirts,18412200
ski suits,18412300
swimwear,18412800
accessories for clothing items,18420000
handkerchiefs,18421000
scarf,18422000
tie,18423000
gloves,18424000
disposable gloves,18424300
mittens,18424400
driving gloves,18424500
belts,18425000
band teacher,18425100
headgear,18440000
hats,18441000
headwear and accessories,18443000
headband,18443100
headgear,18443300
alpine hats/berets,18443310
field hats,18443320
hoods,18443330
shade hats,18443340
chin straps for headgear,18443400
visors,18443500
protective headgear,18444000
safety headgear,18444100
helmets,18444110
styrthjelm,18444111
bicycle helmets,18444112
safety helmet,18444200
buckles (clothing),18450000
buttons,18451000
button topics,18451100
safety pins,18452000
zipper,18453000
jewellery watches and related articles,18500000
jewelery and related articles,18510000
gemstone for jewellery,18511000
diamonds,18511100
rubies,18511200
emeralds,18511300
opal stone,18511400
quartz stone,18511500
the tourmaline stone,18511600
coins and medals,18512000
coins,18512100
medals,18512200
jewelry,18513000
pearls,18513100
goldsmith worker,18513200
goods of precious metals,18513300
goods made of precious or semi-precious stones,18513400
silversmith,18513500
personlig urmakerkunst,18520000
clocks,18521000
glass for wristwatches,18521100
wrist watch,18522000
stopwatches,18523000
gaver og belønninger,18530000
pels og pelsprodukter,18600000
pelsprodukter,18610000
fur skin,18611000
fur clothing,18612000
artificial fur products,18613000
pels,18620000
fottøy,18800000
fottøy unntatt sports- og beskyttelsesfottøy,18810000
waterproof footwear,18811000
footwear with rubber or plastic parts,18812000
sandals with rubber or plastic uppers,18812100
rubber boots,18812200
ordinary footwear with a rubber or plastic upper,18812300
bathing shoes,18812400
footwear with leather uppers,18813000
sandals,18813100
slippers,18813200
regular footwear,18813300
footwear with an upper made of textile materials,18814000
boots,18815000
anklets ankle-high shoes,18815100
boots,18815200
knee boots,18815300
waders,18815400
galoshes,18816000
sportsfottøy,18820000
ski boots,18821000
cross-country shoes,18821100
sneakers,18822000
climbing shoes,18823000
football shoes,18824000
beskyttelsesfottøy,18830000
footwear with built-in metal toe protection,18831000
special footwear,18832000
aviation footwear,18832100
deler til fottøy,18840000
uppers for footwear,18841000
soles,18842000
heels,18843000
bagasjeartikler seletøy sekker og vesker,18900000
salmakerarbeider,18910000
saddles,18911000
riding whips,18912000
whips,18913000
reisegods vesker og tilsvarende,18920000
suitcases,18921000
bags and wallets,18923000
bags,18923100
lommebøker,18923200
large suitcases,18924000
water bottle holders and cases,18925000
vannflaskeholdere,18925100
hylstre,18925200
toiletry bags,18929000
sekker og poser,18930000
travel bags,18931000
ryggsekker,18931100
sports bags,18932000
bags for letters or parcels,18933000
brevposer,18933100
ship bag knapsack,18934000
laundry bags,18935000
cloth bags,18936000
bags for packing goods,18937000
poser til pakning av varer,18937100
padded bags,18938000
handbags,18939000
leather and textiles plastic and rubber materials,19000000
lær,19100000
semsket lær,19110000
lær av storfe eller av dyr av hestefamilien,19120000
lær av får geiter eller svin,19130000
leather from sheepskin or lambskin,19131000
leather from goat or kid kid leather,19132000
leather from pigs,19133000
lær av andre dyr kunstlær og annet lær,19140000
learn from other animals,19141000
artificial leather,19142000
learn imitations,19143000
lacquered leather,19144000
klokkereimer,19160000
lærprodukter brukt i maskiner eller mekaniske redskaper,19170000
tekstilstoffer og tilhørende artikler,19200000
vevd stoff,19210000
woven synthetic fabric,19211000
vevd stoff av blandet fiber,19211100
woven cotton fabric,19212000
bolster,19212100
denim,19212200
lerret,19212300
canvas goods,19212310
poplin,19212400
vevde bånd,19212500
ribbon straps,19212510
